Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00  6580604     0.00     0.00  std::_Select1st<std::pair<std::string const, long> >::operator()(std::pair<std::string const, long> const&) const
  0.00      0.00     0.00  4458577     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.00     0.00  3300902     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.00     0.00  3300902     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00  3140727     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, long> > const*)
  0.00      0.00     0.00  3140727     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, long> > const*)
  0.00      0.00     0.00  2760413     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00      0.00     0.00  2198251     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00  1805784     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  0.00      0.00     0.00  1654934     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      0.00     0.00  1653814     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator++()
  0.00      0.00     0.00  1608416     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string const* const&)
  0.00      0.00     0.00  1608416     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.00     0.00  1257542     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, long>, std::_Select1st<std::pair<std::string const, long> >, std::less<std::string>, std::allocator<std::pair<std::string const, long> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00  1133739     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00   974645     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string const&)
  0.00      0.00     0.00   973823     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00      0.00     0.00   804208     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::difference_type __gnu_cxx::operator-<std::string const*, std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00      0.00     0.00   804208     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  0.00      0.00     0.00   804208     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      0.00     0.00   804208     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin() const
  0.00      0.00     0.00   794217     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator+(int const&) const
  0.00      0.00     0.00   653483     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end()
  0.00      0.00     0.00   647999     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00      0.00     0.00   479736     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&)
  0.00      0.00     0.00   338174     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
